Target,Prime,Tick(s),RT,LD,SD,LD+SD,LD*SD,Target_Length,Prime_Length,Target_Frequency,Prime_Frequency
tosse,tossina,3,opaque,515.3787,0.0034293118348,0.531751083956,0.535180395791,0.00182354028538,5,7,737,242
valle,valletto,3,opaque,527.6137,0.000393869551787,0.672536798675,0.672930668227,0.000264891767454,5,8,1327,125
vanto,vantaggio,3,opaque,624.2746,0.00167942384709,0.744591172643,0.74627059649,0.00125048417167,5,9,109,2571
vino,vinile,3,opaque,509.90035,0.00774375780197,0.780787586152,0.788531343954,0.00604622996194,4,6,6498,89
viola,violenza,3,opaque,523.0435,0.00304552350704,0.834352355853,0.83739787936,0.00254103971291,5,8,1107,3312
vite,vitello,3,opaque,571.1748,0.00155884740136,0.706406195717,0.707965043118,0.0011011794625,4,7,5550,390
abito,abitudine,4,opaque,551.0575,0.00332636602376,0.630303308804,0.633629674828,0.00209661951107,5,9,2642,1455
artiglio,artigliere,4,opaque,650.3135,4.57854493841e-05,0.425130596296,0.425176381746,1.94647953983e-05,8,10,124,109
asta,astuccio,4,opaque,591.8526,0.00747214202471,0.628713130418,0.636185272442,0.00469783380328,4,8,1463,57
ballo,ballatoio,4,opaque,521.2095,0.00122940089503,0.594702448296,0.595931849191,0.00073112772221,5,9,7440,13
bara,barella,4,opaque,584.5585,0.00735845170487,0.582743003046,0.590101454751,0.00428808624427,4,7,1243,440
bile,bilico,4,opaque,655.8285,0.00774375780197,0.908577698742,0.916321456544,0.00703580564333,4,6,87,103
boccia,bocciolo,4,opaque,531.7213,0.000463396339029,0.540972427188,0.541435823527,0.000250684642275,6,8,145,73
bordo,bordello,4,opaque,612.6973,0.00183318210983,0.746660207779,0.748493389889,0.00136876413502,5,8,5785,603
botte,bottino,4,opaque,544.0583,0.00333697264645,0.707938067343,0.711275039989,0.0023623699661,5,7,1590,542
botto,bottone,4,opaque,581.1727,0.000464705634091,0.566876541269,0.567341246903,0.000263430722562,5,7,337,952
branda,brandello,4,opaque,647.5413,0.000463616173641,0.557811309412,0.558274925586,0.000258610344884,6,9,174,38
briga,brigante,4,opaque,690.784,0.000480774761932,0.64761514791,0.648095922672,0.00031135701856,5,8,217,98
bullo,bullone,4,opaque,553.4541,0.000463327643831,0.530976203125,0.531439530769,0.000246015953124,5,7,319,78
burro,burrone,4,opaque,533.846,0.000463327643831,0.673690982825,0.674154310469,0.000312139655743,5,7,1677,200
calvo,calvario,4,opaque,601.1324,0.00158190188824,0.70073818277,0.702320084658,0.00110849905449,5,8,377,68
cane,canaglia,4,opaque,520.4459,0.00783568870893,0.794363092942,0.802198781651,0.00622438191816,4,8,13494,453
cancello,cancelliere,4,opaque,528.96485,4.77761632789e-05,0.774874189327,0.774921965491,3.70205157899e-05,8,11,1888,657
canotta,canottaggio,4,opaque,663.4257,2.43415782113e-05,0.265685698826,0.265710040404,6.46720921759e-06,7,11,33,49
canto,cantina,4,opaque,539.02635,0.00293255131965,0.817892255258,0.820824806577,0.00239851101249,5,7,1764,1491
capo,capienza,4,opaque,531.9185,0.0136666405762,0.93700598636,0.950672626937,0.0128057240334,4,8,33050,26
cappa,cappone,4,opaque,744.4397,0.00194742151711,0.567042112981,0.568989534498,0.00110427001193,5,7,132,16
carro,carriera,4,opaque,556.49085,0.00333697264645,0.949237680211,0.952574652858,0.00316758017384,5,8,1863,5460
cavia,caviale,4,opaque,596.6927,0.000459242274507,0.552948037598,0.553407279873,0.000253937114471,5,7,226,337
colla,colletta,4,opaque,553.3188,0.00298928606259,0.597756771086,0.600746057149,0.00178686598463,5,8,616,112
colle,collezione,4,opaque,617.34965,0.000469115164624,0.816719566405,0.81718868157,0.000383135533846,5,10,101,1616
cono,conato,4,opaque,613.6361,0.00735845170487,0.833174498097,0.840532949802,0.00613087430597,4,6,274,13
coro,corona,4,opaque,526.9256,0.00185494502134,0.818207243937,0.820062188958,0.00151772945356,4,6,1135,1328
corso,corsetto,4,opaque,602.3868,0.00183318210983,0.805025944042,0.806859126152,0.00147575915856,5,8,7856,103
coscia,coscienza,4,opaque,579.3846,0.000770145426572,0.747386612982,0.748156758408,0.000575596381869,6,9,413,2414
costa,costanza,4,opaque,575.28915,0.000457896447836,0.763184625919,0.763642522367,0.000349459529251,5,8,5242,109
doga,dogana,4,opaque,564.61425,0.00146735222109,0.718709385624,0.720176737845,0.00105459981332,4,6,2,444
equo,equino,4,opaque,632.245,0.0106405363853,0.721541837649,0.732182374034,0.00767759217703,4,6,388,32
falco,falcata,4,opaque,594.8925,0.00183425748712,0.740175938825,0.742010196313,0.00135767325758,5,7,799,19
fattore,fattorino,4,opaque,533.19415,0.00020844404248,0.68099945127,0.681207895313,0.00014195027855,7,9,693,441
fiore,fioretto,4,opaque,544.12405,0.000366367478865,0.74083332017,0.741199687649,0.00027141723577,5,8,1764,39
firma,firmamento,4,opaque,533.55545,0.000121690118712,0.643525911343,0.643647601462,7.83107445455e-05,5,10,2716,69
foca,focaccia,4,opaque,568.6588,9.1899094988e-05,0.617217218818,0.617309117913,5.67217038203e-05,4,8,135,125
folle,folletto,4,opaque,581.2284,0.000370713636465,0.558564045923,0.55893475956,0.000207067308663,5,8,2711,205
fonte,fontina,4,opaque,520.6913,0.00302391224426,0.564159583098,0.567183495342,0.00170596907105,5,7,2904,8
forma,formaggio,4,opaque,525.1236,0.000389252078356,0.737423063664,0.737812315743,0.000287043460159,5,9,7571,2720
forza,forziere,4,opaque,518.6144,0.00329784440708,0.826344752477,0.829642596884,0.00272515642028,5,8,45941,83
fosso,fossile,4,opaque,587.1175,0.00194742151711,0.789762368432,0.791709789949,0.00153800022969,5,7,352,117
gallo,gallone,4,opaque,502.4192,0.000463327643831,0.691930738512,0.692394066155,0.000320590638769,5,7,514,59
gara,garante,4,opaque,542.5295,0.00194742151711,0.880746870072,0.882694291589,0.00171518540591,4,7,3788,160
gelo,geloso,4,opaque,581.0373,0.00146735222109,0.764148525136,0.765615877357,0.0011212750356,4,6,186,1953
genero,generoso,4,opaque,606.6632,9.26483533744e-05,0.576181088948,0.576273737302,5.33822291365e-05,6,8,395,1176
gesta,gestazione,4,opaque,624.7052,0.000486494094995,0.796658786291,0.797145280386,0.000387569795257,5,10,127,56
getto,gettone,4,opaque,591.16915,0.000370713636465,0.685027479748,0.685398193384,0.000253949028096,5,7,272,102
giro,girino,4,opaque,591.88035,0.004790614224,0.790454755305,0.795245369529,0.00378676379419,4,6,29849,63
grano,granata,4,opaque,577.4468,0.00183425748712,0.758713825143,0.76054808263,0.00139167651435,5,7,925,550
indole,indolenza,4,opaque,641.3987,2.86159877581e-05,0.295876471599,0.295905087586,8.46679748916e-06,6,9,130,15
lampo,lampone,4,opaque,562.98975,0.000457896447836,0.589017638026,0.589475534474,0.000269709084165,5,7,693,89
mago,magone,4,opaque,555.3498,0.00183318210983,0.732754900346,0.734588082456,0.0013432731742,4,6,1864,12
masso,massaggio,4,opaque,662.0859,0.00169937240057,0.800161599305,0.801860971706,0.00135977253786,5,9,101,1052
matto,mattanza,4,opaque,498.4337,0.00194879746136,0.716946645909,0.718895443371,0.00139718380348,5,8,4532,8
mela,melone,4,opaque,557.50245,0.0132147951361,0.544603227069,0.557818022205,0.0071968200762,4,6,1206,242
merlo,merletto,4,opaque,593.1272,0.00149021136568,0.713132605513,0.714622816878,0.00106271831397,5,8,80,33
mimo,mimosa,4,opaque,650.22585,0.00192344859743,0.649881885246,0.651805333843,0.00125001440067,4,6,115,89
mina,miniera,4,opaque,548.6966,0.00635925372189,0.76946168137,0.775820935092,0.0048932020611,4,7,737,1262
